premium,name,has_test,response_letter_required,department_id,department_name,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview,salary_from_rub,salary_to_rub,"(False, 'salary_from_rub')","(False, 'salary_to_rub')"
False,ML-Python developer,False,False,,,98,Ульяновск,,,,,open,Норд Клан,fullDay,between1And3,full,True,False,,,,
False,Data engineer (операционные риски),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Data Engineer (Аналитическая платформа),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Аналитик данных (Customer Experience),False,False,,,1,Москва,,,,,open,Okko,fullDay,between1And3,full,True,False,,,,
False,"Machine learning engineer, Middle/Senior (Sber AI)",False,False,3529-3529-it,Сбер. IT,1,Москва,,,,,open,СБЕР,fullDay,noExperience,full,True,False,,,,
False,Data engineer,False,False,,,1,Москва,,,,,open,WILDBERRIES,fullDay,between3And6,full,False,False,,,,
False,Аналитик данных/BI analyst,False,False,,,1,Москва,,,,,open,Unilever,fullDay,between3And6,full,False,False,,,,
False,Data analyst ( Мiddle/Middle+ ),False,False,,,1,Москва,,,,,open,РСХБ-Интех,fullDay,between3And6,full,True,False,,,,
False,Аналитик данных Excel (транспортные услуги компании),False,False,,,2,Санкт-Петербург,64000.0,64000.0,RUR,True,open,САТУРН - строительные материалы,fullDay,between1And3,full,True,False,64000.0,64000.0,64000.0,64000.0
False,Аналитик данных (Rambler&Co),False,False,8620-8620-ramb,Rambler&Co,1,Москва,,,,,open,Rambler&Co,fullDay,between1And3,full,True,False,,,,
False,BI-analyst \ Data analyst \ Аналитик данных,False,False,,,1,Москва,180000.0,,RUR,False,open,Займиго МФК,fullDay,between3And6,full,True,False,180000.0,,180000.0,
False,Инженер-электрик центра обработки данных,False,False,197135-197135-amt,"""АйЭмТи""",2077,Химки,,,,,open,ИК СИБИНТЕК,fullDay,between1And3,full,False,False,,,,
False,Аналитик данных / Аналитик DWH,False,False,,,66,Нижний Новгород,200000.0,300000.0,RUR,False,open,INGURU.RU,remote,between3And6,full,False,False,200000.0,300000.0,200000.0,300000.0
False,Инженер сети передачи данных,False,False,,,1291,Нижний Тагил,50000.0,70000.0,RUR,False,open,Тагил Телеком,fullDay,between1And3,full,True,False,50000.0,70000.0,50000.0,70000.0
False,Аналитик данных (аналитическая отчетность) в службу управления данными розничных рисков,False,False,vtb-4181-teh,"ПАО ВТБ, Технологический блок",1,Москва,,,,,open,Банк ВТБ (ПАО),fullDay,between1And3,full,False,False,,,,
False,ML инженер / Data scientist,False,False,,,1,Москва,,,,,open,СберМаркетинг,fullDay,between1And3,full,True,False,,,,
False,AI/ML инженер,False,False,,,26,Воронеж,,,,,open,SteadyControl,remote,between1And3,full,True,False,,,,
False,Аналитик данных,False,False,,,1,Москва,,,,,open,Carcade Leasing,fullDay,between1And3,full,True,False,,,,
False,Middle Дата Аналитик в Личные финансы (Big Data),False,False,mts-3776-it,"«МТС», Digital",1,Москва,,,,,open,МТС,fullDay,between1And3,full,True,True,,,,
False,Senior ML Engineer,False,False,,,1,Москва,,,,,open,ГАУ Города Москвы Центр цифровизации образования,fullDay,between1And3,full,True,False,,,,
False,Data Engineer,False,False,,,2,Санкт-Петербург,,,,,open,билайн,fullDay,between1And3,full,False,False,,,,
False,"Старший Data Scientist, Эффективность рекламы",False,False,ozonru-2180-dev,Ozon Информационные технологии,1,Москва,,,,,open,Ozon,fullDay,between3And6,full,True,False,,,,
False,Аналитик данных по международным почтовым отправлениям,True,False,pochta-4352-office,"«Почта России», Офис",1,Москва,,,,,open,Почта России,fullDay,between1And3,full,True,False,,,,
False,Старший аналитик/Associate (equity research),False,False,,,1,Москва,,,,,open,Тинькофф,fullDay,between3And6,full,True,True,,,,
False,Data analyst/Аналитик данных,False,False,,,95,Тюмень,,,,,open,Maxim technology,fullDay,between3And6,full,False,False,,,,
False,Senior/Middle NLP Data Analyst GigaChat,False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between3And6,full,False,False,,,,
False,Equity research analyst,False,False,3388-3388-gazprom,Газпромбанк,1,Москва,,,,,open,Газпромбанк,fullDay,between1And3,full,False,False,,,,
False,Data Scientist (внедрение ML-решения),False,False,,,1,Москва,,,,,open,SL Soft,fullDay,between3And6,full,True,False,,,,
False,Программист Laravel (агрегатор/нейросети),False,True,,,1,Москва,250000.0,,RUR,False,open,Непляха Ксения Константиновна,remote,between3And6,full,False,False,250000.0,,250000.0,
False,SMM-специалист с использованием искусственного интеллекта (AI) для продукта AI Essay,False,False,,,2,Санкт-Петербург,,,,,open,StudyWorld,fullDay,between1And3,full,True,False,,,,
False,Аналитик данных,True,False,gpn-39305-it,ПАО «Газпром нефть» ИТ,2,Санкт-Петербург,,,,,open,Газпром нефть,fullDay,between1And3,full,True,False,,,,
