premium,name,department_id,department_name,area_id,area_name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview
False,Data Engineer,,,1002,Минск,False,False,,,,,open,Девхаб,fullDay,between3And6,full,True,False
False,Lead data analyst,,,1,Москва,False,False,,,,,open,AppQuantum,fullDay,between1And3,full,True,False
False,Junior Data Engineer/Support Engineer,3529-3529-prof,Сбер для экспертов,77,Рязань,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,True,False
False,Младший аналитик данных,ozonru-2180-commerce,Ozon Офис и Коммерция,1,Москва,False,False,,,,,open,Ozon,fullDay,between1And3,full,False,False
False,Аналитик-исследователь в сфере инновационных технологий,,,1,Москва,False,True,100000.0,150000.0,RUR,True,open,ГК-Консалт,remote,between1And3,full,False,False
False,Machine Learning Developer (AWS),,,2,Санкт-Петербург,False,False,250000.0,,RUR,True,open,ClearScale,remote,moreThan6,full,True,False
False,Machine Learning Developer (AWS),,,1,Москва,False,False,250000.0,,RUR,True,open,ClearScale,remote,moreThan6,full,False,False
False,Data Scientist,,,1,Москва,False,False,120000.0,170000.0,RUR,True,open,КИБЕРБОРЕЯ,fullDay,between1And3,full,False,False
False,"Аналитик-разработчик BI, Data Engineer",,,1,Москва,False,False,110000.0,,RUR,False,open,"Агентство 21 век, КЦ",fullDay,between1And3,full,False,False
False,Data engineer,,,160,Алматы,False,False,,,,,open,DAR Group Limited,fullDay,between3And6,full,True,False
False,Data scientist (Центр развития платформы Sber.DS),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Senior Data Analyst,,,2,Санкт-Петербург,False,False,,,,,open,Grid Dynamics,fullDay,between3And6,full,False,False
False,Аналитик данных (оптимизация сайта компании),,,1,Москва,False,False,,,,,open,Selecty,fullDay,between3And6,full,False,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Райффайзенбанк,flexible,between1And3,full,False,False
False,Аналитик данных,,,1,Москва,False,False,,,,,open,Современные Логистические Решения,fullDay,between1And3,full,True,False
False,ML Engineer (machine learning),,,1,Москва,False,False,,,,,open,X5 RETAIL GROUP,fullDay,between3And6,full,False,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,X5 RETAIL GROUP,flexible,between3And6,full,False,False
False,Lead Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,Grid Dynamics,fullDay,between3And6,full,False,False
False,Senior Scala Developer / Data Engineer,,,1,Москва,False,False,200000.0,,RUR,True,open,Kelly Services,fullDay,between3And6,full,False,False
False,Senior Scala Developer / Data Engineer,,,2,Санкт-Петербург,False,False,200000.0,,RUR,True,open,Kelly Services,fullDay,between3And6,full,False,False
False,Data Scientist,,,1,Москва,False,False,,,,,open,The Boston Consulting Group,fullDay,between1And3,full,True,False
False,Lead Data Analyst (Product Analyst),,,1002,Минск,False,False,,,,,open,Фитспаир,remote,between1And3,full,True,False
False,ML Engineer,,,1,Москва,False,False,,,,,open,СберЗвук,flexible,between3And6,full,True,False
False,Senior data scientist,mgfn-3127-office,"МегаФон, Офис",1,Москва,False,False,,,,,open,МегаФон,fullDay,between1And3,full,True,False
False,Data Scientist,,,47,Кемерово,False,False,,,,,open,Kelly Services,fullDay,between1And3,full,False,False
False,Младший аналитик данных / Junior Data science,,,1,Москва,False,False,,,,,open,Forecsys,fullDay,noExperience,full,False,False
False,Data analyst,,,115,Киев,False,False,,,,,open,Райффайзен Банк Аваль,fullDay,between1And3,full,True,False
False,Lead Data scientist,,,66,Нижний Новгород,False,False,,,,,open,ЛУКОЙЛ-Нижегородниинефтепроект,fullDay,between3And6,full,True,False
False,Data scientist,,,66,Нижний Новгород,False,False,,,,,open,ЛУКОЙЛ-Нижегородниинефтепроект,fullDay,between1And3,full,True,False
False,Аналитик данных,733-2651978-tech,ЛАНИТ-Технологии,1,Москва,False,False,,,,,open,ЛАНИТ-ТЕХНОЛОГИИ,fullDay,between1And3,full,True,False
False,Data Scientist,,,1,Москва,False,False,,,,,open,GFAIVE,remote,between3And6,full,False,False
False,Senior Data Analyst,,,1002,Минск,False,False,,,,,open,ЕОН ГЕЙМС,flexible,between3And6,full,True,False
False,Business Data Analyst,,,1002,Минск,False,False,,,,,open,"EPAM Systems, Inc.",fullDay,between1And3,full,False,False
False,Senior Data Scientist ( блок УБ),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,noExperience,full,False,False
False,Data Engineer в команду СберЗвук,3529-3529-it,Сбер. IT,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,True,False
False,ML-разработчик в ВидеоХостинг,,,1,Москва,False,False,,,,,open,Яндекс,fullDay,between3And6,full,True,False
False,Аналитик данных,,,1,Москва,False,False,,,,,open,Открытие Брокер,remote,between3And6,full,True,False
False,Finance Data Analyst (to Tallinn),,,115,Киев,False,False,,,,,open,TransferWise,fullDay,noExperience,full,False,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Uchi.ru,fullDay,between1And3,full,True,False
False,BI analyst/ Data analyst,,,1,Москва,False,False,,,,,open,InsightWhale,remote,between3And6,part,False,False
False,"Big Data Engineer, Banking System",,,26,Воронеж,False,False,,,,,open,DataArt,fullDay,between1And3,full,True,False
False,Аналитик данных по операционной эффективности сервисов,,,53,Краснодар,False,False,,,,,open,"МАГНИТ, Розничная сеть",fullDay,between1And3,full,False,False
False,"Senior ML Research Engineer (Text to speech, speech synthesis)",,,2,Санкт-Петербург,False,False,,,,,open,Just AI,flexible,between3And6,full,True,False
False,Data Analyst,,,76,Ростов-на-Дону,False,False,,,,,open,TradingView,flexible,between1And3,full,True,False
False,Data Engineer,,,1002,Минск,False,False,,,,,open,СолбегСофт,fullDay,between1And3,full,False,False
False,Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,WorldQuant,fullDay,between3And6,full,False,False
False,"Эксперт - аналитик данных (качество, витрины, ETL, SQL)",,,1,Москва,False,False,,,,,open,Ростелеком,fullDay,between1And3,full,False,False
False,Lead Data Scientist управления финансовых моделей (Big data),,,1,Москва,False,False,,,,,open,Банк ВТБ (ПАО),fullDay,between3And6,full,False,False
